threads,samples,fairness,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
6,1414583,0.96219067367052,707191.9938433142,0,0,0,0,48970,29255,153486,437234
6,1510061,0.9636850562281849,698863.9064524755,0,0,0,0,51454,31468,195364,1367566
6,1465960,0.9663797300437342,674263.0652094798,0,0,0,0,53104,31769,182129,2689598
6,1530465,0.9654676813770724,707266.1293679844,0,0,0,0,50793,32270,185265,1291084
6,1465325,0.9727704706207206,673326.9923153743,0,0,0,0,53333,31839,170107,523104
6,1238653,0.9514454509495701,574417.429818167,0,0,0,0,62547,32591,186527,6350704
6,1391063,0.9751161978690541,652563.022811803,0,0,0,0,55076,32340,186928,2527455
6,1576660,0.9791069675908974,732237.349582235,0,0,0,0,48921,32921,177300,356354
6,1577826,0.9891039828988554,723269.5446923039,0,0,0,0,49673,32461,170287,360552
6,1571458,0.974190080561646,720883.6500326745,0,0,0,0,49597,32520,169716,350553
6,746793,0.961616176370545,343023.38070059195,0,0,0,0,105096,33733,223756,12808588
6,1529637,0.9843263724493986,735905.6883312003,0,0,0,0,48831,32841,172582,357155
6,1546463,0.9669710078888841,714192.7136202485,0,0,0,0,50198,33172,176308,359500
6,1426614,0.9794331664311361,657982.7257596565,0,0,0,0,54538,33452,187098,4852746
6,1386736,0.9713658414180468,644027.4953562339,0,0,0,0,55846,33623,189232,4887209
6,1549467,0.9818077326250539,720839.1050692819,0,0,0,0,49756,32941,173533,365591
6,1575936,0.9798092568243002,726994.1537410463,0,0,0,0,49378,33092,175206,363557
6,1572437,0.9778653385201229,721860.8626866352,0,0,0,0,49757,32971,173603,361803
6,1569794,0.9588382132272407,721914.5378428671,0,0,0,0,48890,33333,177531,365109
6,1554134,0.9306395876206928,713501.0311684671,0,0,0,0,48795,33533,178823,361813
6,770771,0.9237081989397257,354036.4317948411,0,0,0,0,98297,34114,198801,21824265
6,593545,0.9398045126721535,284902.5956092145,0,0,0,0,123340,34744,211003,22565395
6,1465275,0.9362693946615972,710744.6972640641,0,0,0,0,49085,33893,182610,356624
6,1513455,0.9341117099528893,698939.63539124,0,0,0,0,49873,33833,181518,360782
6,1544077,0.9252623996902791,710569.3042875032,0,0,0,0,49102,33793,180887,360912
6,1487771,0.9286789109151138,683001.359670671,0,0,0,0,49797,33512,178623,368296
6,1480360,0.9191457444361055,683130.1216727492,0,0,0,0,49535,33663,179283,361062
6,1388993,0.9192394401627266,640503.0947061317,0,0,0,0,48786,33893,181718,362044
