threads,samples,fairness,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
6,1406444,0.9572673331571998,703142.9941500343,0,0,0,0,49352,29756,153087,430036
6,1503506,0.9606570033436851,691835.7833240469,0,0,0,0,51856,31439,190397,1404985
6,1426417,0.9627756456559703,656211.475594656,0,0,0,0,54640,32090,182763,2687690
6,1485297,0.9452312310833579,687699.3480498393,0,0,0,0,52199,32812,187362,1303795
6,1403232,0.9759297061807636,648466.6362942394,0,0,0,0,55490,32261,172383,4966543
6,1333677,0.9178981806146518,620413.4365396068,0,0,0,0,56622,32932,180749,6061357
6,1325294,0.9175265029755583,617953.2693285124,0,0,0,0,56622,32771,190968,2568927
6,1488856,0.9286223377366222,694465.7002935096,0,0,0,0,50210,33102,174648,347392
6,1510118,0.9230599928807688,698672.1172700966,0,0,0,0,49932,32651,169417,353152
6,1508655,0.9307966353902233,696884.001593019,0,0,0,0,49975,32832,170791,357400
6,806168,0.9236915522355181,372377.7958445506,0,0,0,0,94243,33813,217909,12255411
6,1443304,0.9315627113593945,691222.4568645026,0,0,0,0,50412,33022,172493,353262
6,1493128,0.9134972624847404,691685.3422183121,0,0,0,0,50414,33293,174267,350517
6,1242155,0.9299312546253499,573348.6797806984,0,0,0,0,60895,33283,190237,4941556
6,1396640,0.9161961050744486,653314.3531193576,0,0,0,0,53511,33853,187061,589726
6,1521038,0.9262878112986357,706879.3835209532,0,0,0,0,49303,33423,175780,357340
6,1528312,0.924025433213309,704117.3717023139,0,0,0,0,49674,33553,176020,357119
6,1558596,0.9302299303921238,716907.6397628887,0,0,0,0,48593,33553,175589,360877
6,1517962,0.9153432674440432,697079.1431387496,0,0,0,0,50040,33423,173836,353082
6,1499408,0.9102826287149837,689159.2931025933,0,0,0,0,50723,33532,176100,367049
6,821424,0.9343944514301962,378386.9208997169,0,0,0,0,91812,33984,195266,21941425
6,656753,0.9243555404022472,314394.5759048661,0,0,0,0,111886,34825,206096,22172398
6,1429296,0.9393796638042837,690347.4461235005,0,0,0,0,50450,34224,182332,356999
6,1519708,0.932620786267424,704463.3565743983,0,0,0,0,49643,33893,178355,364684
6,1482017,0.9421667900510254,682902.6516313663,0,0,0,0,50959,34034,180678,365145
6,1532540,0.9345563655163298,706681.603037334,0,0,0,0,49518,34014,181280,360286
6,1514369,0.9252332483245644,696515.5936866994,0,0,0,0,50031,34154,182132,369684
6,1430839,0.9204924668204377,658436.063781622,0,0,0,0,50451,33913,179878,362650
