threads,samples,fairness,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
6,1369772,0.9456591529011952,684766.6229227092,0,0,0,0,50259,29635,153799,405812
6,1473587,0.9793985109900717,678168.3667984317,0,0,0,0,52937,31479,197650,1369550
6,1485766,0.9839279522028649,678905.5921916317,0,0,0,0,52950,32070,183384,2679028
6,1509061,0.9690727748055112,689308.7017249928,0,0,0,0,51998,32431,186580,1286504
6,1323080,0.952293317359896,605854.329984477,0,0,0,0,59411,32050,176170,6088796
6,1394200,0.9623460254523943,646592.077071683,0,0,0,0,55563,32972,181190,4488613
6,1408164,0.9804276673303657,650156.2698993385,0,0,0,0,55166,32832,192591,2573990
6,1549439,0.9595777506196029,715132.5795845357,0,0,0,0,50153,32902,175519,357812
6,1574932,0.961178254758654,717927.1141479007,0,0,0,0,50063,32761,172544,360937
6,1547837,0.9699764913799607,704767.5245023229,0,0,0,0,50835,32972,174848,366768
6,754449,0.9887401721492065,345224.72048480477,0,0,0,0,104308,34224,231114,12556052
6,1473737,0.9638238640448308,704884.2205963741,0,0,0,0,50765,32992,173907,359214
6,1572853,0.9800990094819019,721089.3923693612,0,0,0,0,49919,33132,175389,365185
6,1337207,0.9772269455081191,607618.2534256503,0,0,0,0,59109,33223,188784,4920303
6,1416754,0.9589231213128481,655583.7238249052,0,0,0,0,54701,33473,184877,4703376
6,1554794,0.9719854976684281,717032.8082454484,0,0,0,0,49974,33393,177823,369093
6,1551000,0.9807641813669592,708107.5418565186,0,0,0,0,50878,33433,178355,373301
6,1569072,0.9747416563293304,713706.7523430624,0,0,0,0,50228,33483,178365,375344
6,1553925,0.9734371459562535,706957.0675406007,0,0,0,0,50705,33503,179046,372779
6,1552763,0.9758613215439476,706058.2122090588,0,0,0,0,50940,33523,179727,374603
6,909720,0.9802660423001185,414382.99394130043,0,0,0,0,86701,33783,193613,21869118
6,546301,0.968389895910058,259182.85720372005,0,0,0,0,138770,35086,229060,22831024
6,1461062,0.9810289302190078,708511.606698362,0,0,0,0,50699,34184,185618,373571
6,1560542,0.9709469478604819,716129.8650812632,0,0,0,0,49975,34154,186229,366198
6,1533371,0.9467850699366573,700151.7785530749,0,0,0,0,50108,34014,184116,374894
6,1500224,0.9282168665939048,684434.5025417112,0,0,0,0,51122,33944,183234,380905
6,1522311,0.9384744384979578,695370.0310745388,0,0,0,0,50163,34044,184086,367469
6,1105757,0.938169903605068,505821.66701717075,0,0,0,0,49761,34144,185799,364905
