threads,samples,fairness,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
6,1409593,0.954731453428799,704713.8934374113,0,0,0,0,48722,29756,155232,366348
6,1468223,0.9770922789832606,678174.1044595921,0,0,0,0,53044,31529,198613,1390029
6,1456455,0.9562439713093532,670858.7957426795,0,0,0,0,53451,32110,186049,2675923
6,1467157,0.9719970268277214,677860.246748962,0,0,0,0,52915,32351,189847,1297886
6,1298574,0.9792778370934024,601104.8231604976,0,0,0,0,59733,32211,182402,6180199
6,1426034,0.9703268176283026,666849.4925482866,0,0,0,0,53903,33042,184436,628279
6,1396172,0.9464040644255886,647979.80433766,0,0,0,0,55140,32661,192050,2516684
6,1555810,0.9642707942382858,722896.9563532316,0,0,0,0,49733,32771,176341,354275
6,1555984,0.9562617466357578,713945.0995845688,0,0,0,0,50254,32771,175780,352822
6,1499228,0.9475917411091019,689366.4385395154,0,0,0,0,52177,32942,179286,377178
6,866513,0.9636569187848859,399743.89039992815,0,0,0,0,89851,33843,215926,12213232
6,1507434,0.963058460788779,720743.9926402462,0,0,0,0,49817,33082,178034,354515
6,1498051,0.9667781867282587,691393.1749725703,0,0,0,0,51899,33212,179106,359755
6,1179997,0.9527520140815326,545684.1796945458,0,0,0,0,65693,33282,203452,5026854
6,1460199,0.9497770933105025,686849.1092149164,0,0,0,0,51053,33503,183785,386967
6,1500305,0.908700905355583,695147.6431567067,0,0,0,0,50201,33303,181029,361739
6,1513246,0.9300645176495843,698576.5409926572,0,0,0,0,49958,33653,184106,372408
6,1546420,0.9351686058811294,711826.6715817852,0,0,0,0,49013,33462,182693,361739
6,1519183,0.9342647508086269,697079.4084622746,0,0,0,0,50031,33503,182843,363533
6,1515273,0.9322667857995389,697883.5004419275,0,0,0,0,49897,33653,184656,364544
6,663244,0.9576683347827509,305020.312165822,0,0,0,0,114032,34144,210686,22116568
6,839231,0.9385297045099882,404915.2068771871,0,0,0,0,86761,34384,205766,21684658
6,1455830,0.9332999081860429,696069.3307754847,0,0,0,0,50190,33894,186240,369354
6,1502757,0.9255054178903217,695083.4820050732,0,0,0,0,50196,33933,186379,370826
6,1491787,0.9310829561679367,687434.2831083667,0,0,0,0,50768,34014,186871,369574
6,1500685,0.9484621681898407,691953.1412967037,0,0,0,0,50287,34004,187482,370095
6,1478430,0.9500879918897042,682879.0610591618,0,0,0,0,51182,33803,185589,368682
6,1439350,0.9186215033102576,666031.6515556208,0,0,0,0,49815,33242,184757,374823
