threads,samples,fairness,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
6,1407252,0.9711307656026053,703505.4427345475,0,0,0,0,49300,29606,155254,380341
6,1492988,0.9646400151927453,681940.1523187463,0,0,0,0,52653,31479,197774,1376398
6,1452546,0.9613472153245785,659693.1441935461,0,0,0,0,54372,32111,185913,2684097
6,1533090,0.9715832760906644,699938.3184179246,0,0,0,0,51249,32331,187275,1290757
6,1277799,0.9575260428450041,581793.2181103727,0,0,0,0,61717,32181,185983,6273209
6,1483144,0.9701811018096618,685695.7878198707,0,0,0,0,52346,32963,181795,416099
6,1426894,0.9654041423226061,652844.3811759269,0,0,0,0,55072,32682,193016,2512421
6,1580696,0.9535955050494317,725820.2342366357,0,0,0,0,49332,32682,175653,356255
6,1576852,0.9548198178233157,714289.8095908449,0,0,0,0,50280,32742,175603,352818
6,1396899,0.9614170673459903,632519.4900408959,0,0,0,0,56563,32923,182095,481121
6,1017762,0.9632583952069758,464995.5502198093,0,0,0,0,77439,33704,203987,11985625
6,1520282,0.9623706978659994,715671.7917531744,0,0,0,0,50194,33043,179370,358159
6,1573756,0.9577940111896734,716926.112259359,0,0,0,0,49983,33143,178588,358389
6,1216662,0.9599982253216012,552058.505857848,0,0,0,0,65209,33354,206081,5028009
6,1540400,0.9635211776598303,714271.0000169498,0,0,0,0,50229,33353,181594,361906
6,1574176,0.957401829023695,716251.8449806338,0,0,0,0,50114,33293,180923,360593
6,1562702,0.961740505291166,710117.8341542474,0,0,0,0,50479,33543,183668,364121
6,1601105,0.980406931798567,728069.8785599832,0,0,0,0,49207,33474,183137,363609
6,1585545,0.9669292179410581,715868.3841536691,0,0,0,0,50073,33464,182676,364200
6,1550511,0.9211557213666175,700921.3608533121,0,0,0,0,49731,33614,183237,363148
6,328109,0.9232659218832456,149017.6793535823,0,0,0,0,233835,34705,420968,25870288
6,1213252,0.9155268147870935,594889.0688928145,0,0,0,0,58933,34084,190471,418683
6,1498319,0.9042719724306336,694871.1256772086,0,0,0,0,50277,33884,186633,372476
6,1522687,0.9206436319852487,693850.5282975271,0,0,0,0,50267,33884,185160,366374
6,1544976,0.9168344459084442,701506.2742415388,0,0,0,0,49571,33905,186032,363900
6,1545678,0.8961131687666023,700974.1409444055,0,0,0,0,49684,33854,185011,363449
6,1516016,0.9020215366696899,687583.4161749975,0,0,0,0,49386,33734,183097,366775
6,843771,0.9011471483637838,383242.50655209145,0,0,0,0,50262,33944,187455,378156
